Article Title,Section,Website,Publication Date,Number of Characters in Title
Houston Astros,Baseball,https://topics.nytimes.com/topic/organization/houston-astros,Unkown Publication Date,14
Houston Astros,Baseball,https://topics.nytimes.com/top/news/sports/baseball/majorleague/houstonastros/index.html,Unkown Publication Date,14
M.L.B. Playoff Races: Houston Astros Clinch Division Title,Unkown Section,https://www.nytimes.com/2018/09/26/sports/mlb-playoff-standings.html,2018-09-26T05:08:55+0000,58
Houston Astros’ First World Series Parade,Unkown Section,https://www.nytimes.com/video/us/100000005534177/houston-astros-first-world-series-parade.html,2017-11-04T04:26:41+0000,41
Defending Champion Astros Sweep Their Way to A.L.C.S.,Unkown Section,https://www.nytimes.com/2018/10/08/sports/houston-astros-mlb-playoffs.html,2018-10-08T21:36:08+0000,53
"A.L. Preview: Watch Out, the Houston Astros Got Better",Baseball,https://www.nytimes.com/2018/03/26/sports/baseball/american-league-preview.html,2018-03-26T06:50:07+0000,54
Astros Top Red Sox in an A.L.C.S. Game 1 That Is Far From a Grand Opening,Baseball,https://www.nytimes.com/2018/10/14/sports/baseball/houston-astros-boston-red-sox-alcs.html,2018-10-14T04:34:50+0000,73
"With Ryan Pressly, Astros Can Now Put Positive Spin on Bullpen",Baseball,https://www.nytimes.com/2018/10/15/sports/baseball/astros-red-sox-alcs-ryan-pressly.html,2018-10-15T23:27:50+0000,62
How the Houston Astros Finally Hit on a Formula That Worked for Them,Baseball,https://www.nytimes.com/2017/11/03/sports/baseball/houston-astros-world-series-formula.html,2017-11-04T03:05:10+0000,68
Houston Astros Make History With City’s First Baseball Championship,Unkown Section,https://www.nytimes.com/2017/11/02/sports/houston-championships.html,2017-11-02T10:25:43+0000,67
World Series 2017 Game 4: Los Angeles Dodgers 6-2 Houston Astros – as it happened,Sport,https://www.theguardian.com/sport/live/2017/oct/28/world-series-2017-game-4-los-angeles-dodgers-v-houston-astros-live,2017-10-29T03:57:36Z,81
World Series 2017 Game 7: Houston Astros 5-1 Los Angeles Dodgers – as it happened!,Sport,https://www.theguardian.com/sport/live/2017/nov/01/world-series-2017-game-7-houston-astros-los-angeles-dodgers-live,2017-11-02T04:34:02Z,82
World Series 2017 Game 6: Houston Astros 1-3 Los Angeles Dodgers – as it happened,Sport,https://www.theguardian.com/sport/live/2017/oct/31/world-series-2017-game-6-houston-astros-los-angeles-dodgers-live,2017-11-01T04:04:05Z,81
World Series 2017 Game 3: Los Angeles Dodgers 3-5 Houston Astros – as it happened,Sport,https://www.theguardian.com/sport/live/2017/oct/27/world-series-2017-game-3-houston-astros-los-angeles-dodgers,2017-10-28T04:24:02Z,81
Marilyn Manson collapses on stage at Houston concert,Music,https://www.theguardian.com/music/2018/aug/20/marilyn-manson-collapses-on-stage-houston-concert,2018-08-20T12:34:03Z,52
World Series 2017 Game 5: Los Angeles Dodgers 12-13 Houston Astros – as it happened!,Sport,https://www.theguardian.com/sport/live/2017/oct/29/world-series-2017-game-5-los-angeles-dodgers-v-houston-astros-live,2017-10-30T06:01:11Z,84
World Series 2017 Game 1: Houston Astros 1-3 Los Angeles Dodgers – as it happened,Sport,https://www.theguardian.com/sport/live/2017/oct/24/world-series-2017-game-1-houston-astros-los-angeles-dodgers-live,2017-10-25T02:47:36Z,81
We have a problem: can a city spaceport keep Houston in the space race?,Cities,https://www.theguardian.com/cities/2018/nov/22/houston-we-have-a-spaceport-can-the-city-stay-ahead-in-space-travel,2018-11-22T07:30:32Z,71
Sexual abuse victim pursues Hillsong’s Brian Houston over crimes of his father,World news,https://www.theguardian.com/world/2018/nov/19/sex-abuse-victim-pursues-hillsongs-brian-houston-over-crimes-of-his-father,2018-11-19T06:37:56Z,78
‘Not black enough’: the identity crisis that haunted Whitney Houston,Music,https://www.theguardian.com/music/2018/jul/07/not-black-enough-the-identity-crisis-that-haunted-whitney-houston,2018-07-07T05:59:21Z,68
